"Statistical unit","Unit of measure","Level of education","Orientation","Sex","Age","Grade","Type of institution","Level of educational attainment","School subject","Wealth quintile","Infrastructure","Location","Type of education","Socioeconomic background","Source of funding","Funding flow","Reference area","Time Period","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ROFST:Rate of out-of-school children","GPIA:Adjusted gender parity index","L3:Upper secondary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:GPIA:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","0.81588","0.81870","0.81215","0.79561","0.77159","0.65131","0.63618","0.75763","0.90113","0.90257",""
"ROFST_PHH:Rate of out-of-school children (household survey data)","PT:Percentage","L1:Primary education","_T:Total","F:Female","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST_PHH:PT:L1:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","2.10000","2","2.70000","1.90000","1.80000","1.60000","1.40000","","","",""
"STU:Students","GPI:Gender parity index","L2:Lower secondary education","C4:General programmes","_T:Total","GE2_OVER_AGE:At least 2 years over age","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:GPI:L2:C4:_T:GE2_OVER_AGE:_T:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","0.71537","0.72408","0.72152","0.71309","0.71963","0.99525","0.99501","0.71234","0.70548","0.70136",""
"GECER:Gross early childhood enrolment ratio","GPI:Gender parity index","L01:Early childhood educational development programmes","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GECER:GPI:L01:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","0.99889","0.99996","2.06949","1.08400","1.08784","0.96980","0.99664","0.97681","0.97607","0.97619",""
"LR:Literacy rate","PT:Percentage","_Z:Not applicable","_Z:Not applicable","F:Female","Y25T64:25-64 years","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:PT:_Z:_Z:F:Y25T64:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","96.01132","","96.40249","","96.07802","","","","97.63989","98.14637",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","M:Male","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L5T8:At least completed short-cycle tertiary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:M:Y_GE25:_Z:_Z:L5T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","11.97093","12.35048","13.31785","","20.53624","","","","24.60026","",""
"FREE_EDU:Free education","YR:Years","L2_3:Secondary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","FREE_EDU:YR:L2_3:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","5","5","5","5","5","5","5","5","5","5","5"
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:F:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","91.09000","90.79000","91.41000","95.76000","92.31000","89.12000","91.23000","","","",""
"EA:Educational attainment","GPI:Gender parity index","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L5T8:At least completed short-cycle tertiary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:GPI:_Z:_Z:_T:Y_GE25:_Z:_Z:L5T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","1.32839","1.37319","1.38581","","1.40903","","","","1.41330","",""
"ROFST:Rate of out-of-school children","PT:Percentage","L1:Primary education","_T:Total","M:Male","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L1:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","7.67031","9.56935","7.44237","6.61292","6.58538","5.23065","6.08454","7.50055","7.95692","11.01483",""
"SCH:School","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_PRIV:Private institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","IMPR_SSEX_USE_TOILET:Single-sex basic sanitation facilities","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L1:_T:_T:_T:_T:INST_PRIV:_Z:_T:_Z:IMPR_SSEX_USE_TOILET:_T:_T:_T:_Z:_Z:VE","","","","","","","","","","100",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","1.20368","1.20695","1.22603","1.23992","1.14248","1.17992","1.12543","","","",""
"STU:Students","GLPI:Location parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","READING:Reading","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:GLPI:L2:_T:_T:_T:GLAST:INST_T:_Z:READING:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","0.33293","","","","","","","",""
"LR:Literacy rate","PT:Percentage","_Z:Not applicable","_Z:Not applicable","M:Male","Y15T24:15-24 years","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:PT:_Z:_Z:M:Y15T24:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","97.97440","","98.26986","","96.88986","","","","98.71199","98.44194",""
"GECER:Gross early childhood enrolment ratio","PT:Percentage","L02:Pre-primary education","_T:Total","F:Female","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GECER:PT:L02:_T:F:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","36.36831","40.96491","43.64037","44.96021","45.35931","43.37740","45.11042","43.68275","44.99341","41.39053",""
"ROFST:Rate of out-of-school children","PT:Percentage","L3:Upper secondary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","34.09725","31.15154","29.82753","29.26827","26.28661","24.09364","23.38440","28.18541","29.30842","31.24247",""
"STU:Students","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","READING:Reading","_Z:Not applicable","_Z:Not applicable","RUR:Rural","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:READING:_Z:_Z:RUR:_T:_T:_Z:_Z:VE","","","23.32000","","","","","","","",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:F:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","60.03000","62.36000","63.99000","68.24000","66.84000","68.65000","70.36000","","","",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:F:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","79.63000","76.74000","80.04000","83","85.32000","81.06000","82.68000","","","",""
"AIR:Gross intake ratio","PT:Percentage","L1:Primary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","AIR:PT:L1:_T:M:_T:GLAST:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","93.61972","92.33525","92.25240","91.23058","92.37870","93.76349","93.82400","95.34503","94.57464","91.62609",""
"XUNIT:Government expenditure per student","GDP_CAP:as % of GDP per capita","L2_3:Secondary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","GOV:Government","FFNTR:Initial (net of transfers received)","VE:Venezuela (Bolivarian Republic of)","XUNIT:GDP_CAP:L2_3:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:GOV:FFNTR:VE","8.09053","","16.60868","","","","","","0.01532","",""
"QUTP:Percentage of qualified teachers","PT:Percentage","L4:Post-secondary non-tertiary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","QUTP:PT:L4:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","","","","","","0","0","",""
"ROFST:Rate of out-of-school children","PT:Percentage","L1_2:Primary and lower secondary education","_T:Total","F:Female","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L1_2:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","6.82600","8.73307","7.04481","7.03345","7.37009","7.45231","7.05805","7.12556","8.37312","11.06361",""
"TRTP:Percentage of trained teachers","PT:Percentage","L4:Post-secondary non-tertiary education","_T:Total","M:Male","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","TRTP:PT:L4:_T:M:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","0","0","0","","","","0","0","",""
"ODA:Official development assistance","USD_CONST:Constant US $","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","INST_T:All institutions","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ODA:USD_CONST:_Z:_Z:_Z:_Z:_Z:INST_T:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","536553","1803087","2092647","1168513","1588860","1595803","1848765","1463771","1379543","",""
"ROFST_PHH:Rate of out-of-school children (household survey data)","PT:Percentage","L1:Primary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST_PHH:PT:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","2.20000","2.20000","2.70000","2","2","1.90000","1.80000","","","",""
"STU:Students","GPI:Gender parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","MATH:Mathematics","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:GPI:L2:_T:_T:_T:GLAST:INST_T:_Z:MATH:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","0.78205","","","","","","","",""
"COMP_EDU:Compulsory education","YR:Years","L02:Pre-primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","COMP_EDU:YR:L02:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","3","3","3","3","3","3","3","3","3","3",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","M:Male","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L4T8:At least completed post-secondary non-tertiary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:M:Y_GE25:_Z:_Z:L4T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","0","0","0","","20.53624","","","","25.92022","",""
"STU_NON_LANG_TEST:Students who did not speak the language of the test at home","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","READING:Reading","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU_NON_LANG_TEST:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:READING:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","76.07000","","","","","","","",""
"ROFST:Rate of out-of-school children","PT:Percentage","L1T3:Primary and secondary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L1T3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","12.40874","13.35650","11.62796","11.46281","11.23453","10.29371","9.92401","11.28720","12.27239","14.84544",""
"CR:Completion rate","SESPI:Socioeconomic status parity index","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPI:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.58776","0.54639","0.68732","0.60793","0.68236","0.64142","0.69485","","","",""
"NERA:Adjusted net enrolment rate","PT:Percentage","L1:Primary education","_T:Total","_T:Total","UNDER1_AGE:One year younger than official entry age","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","NERA:PT:L1:_T:_T:UNDER1_AGE:_T:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","87.13687","86.86146","78.20930","73.16035","76.94896","76.38036","79.45842","89.42296","92.45174","85.09157",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L7_8:At least completed master's or equivalent level","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:_T:Y_GE25:_Z:_Z:L7_8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","","","","","","","","","1.03300","",""
"STU:Students","PT:Percentage","L2:Lower secondary education","C4:General programmes","_T:Total","GE2_OVER_AGE:At least 2 years over age","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2:C4:_T:GE2_OVER_AGE:_T:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","17.52399","18.33666","16.19688","15.47341","16.22292","16.23057","16.02189","12.58259","11.88337","11.97234",""
"FREE_EDU:Free education","YR:Years","L02:Pre-primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","FREE_EDU:YR:L02:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","3","3","3","3","3","3","3","3","3","3","0"
"LR:Literacy rate","PT:Percentage","_Z:Not applicable","_Z:Not applicable","_T:Total","Y25T64:25-64 years","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:PT:_Z:_Z:_T:Y25T64:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","95.96408","","96.22640","","95.50110","","","","97.28510","97.78481",""
"GECER:Gross early childhood enrolment ratio","PT:Percentage","L01:Early childhood educational development programmes","_T:Total","M:Male","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GECER:PT:L01:_T:M:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","13.09373","8.93236","4.66638","9.64800","7.48765","8.03205","9.35665","9.42327","9.20641","9.05660",""
"STU:Students","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","READING:Reading","_Z:Not applicable","_Z:Not applicable","URB:Urban","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:READING:_Z:_Z:URB:_T:_T:_Z:_Z:VE","","","70.06000","","","","","","","",""
"ROFST_PHH:Rate of out-of-school children (household survey data)","GPIA:Adjusted gender parity index","L3:Upper secondary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST_PHH:GPIA:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.75787","0.76286","0.74027","0.71547","0.77570","0.82676","0.78870","","","",""
"STU:Students","PT:Percentage","L2:Lower secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","MATH:Mathematics","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2:_T:M:_T:GLAST:INST_T:_Z:MATH:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","45.92000","","","","","","","",""
"QUTP:Percentage of qualified teachers","GPI:Gender parity index","L4:Post-secondary non-tertiary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","QUTP:GPI:L4:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","","","","","","0","0","",""
"GECER:Gross early childhood enrolment ratio","PT:Percentage","L02:Pre-primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GECER:PT:L02:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","36.31236","40.79255","45.55446","43.36420","43.83451","43.08080","44.93354","43.45159","44.80849","41.16971",""
"EA:Educational attainment","GPI:Gender parity index","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L2T8:At least completed lower secondary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:GPI:_Z:_Z:_T:Y_GE25:_Z:_Z:L2T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","1.09212","1.10615","1.11098","","1.08570","","","","1.07438","",""
"SCH:School","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","COMP_PP:Computers for pedagogical purposes","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L1:_T:_T:_T:_T:INST_T:_Z:_T:_Z:COMP_PP:_T:_T:_T:_Z:_Z:VE","","","","68.25708","","","","","","",""
"ROFST:Rate of out-of-school children","PT:Percentage","L2:Lower secondary education","_T:Total","M:Male","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L2:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","9.87413","11.25981","9.77778","11.10306","12.44865","11.06034","8.76882","9.44840","10.61324","12.66639",""
"LR:Literacy rate","GPI:Gender parity index","_Z:Not applicable","_Z:Not applicable","_T:Total","Y25T64:25-64 years","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:GPI:_Z:_Z:_T:Y25T64:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","1.00099","","1.00369","","1.01236","","","","1.00737","1.00746",""
"GER:Gross enrolment ratio","PT:Percentage","L5T8:Tertiary education","_T:Total","M:Male","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GER:PT:L5T8:_T:M:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","57.81273","","","","","","","","",""
"ROFST_PHH:Rate of out-of-school children (household survey data)","PT:Percentage","L1:Primary education","_T:Total","M:Male","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST_PHH:PT:L1:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","2.30000","2.30000","2.70000","2.10000","2.30000","2.20000","2.20000","","","",""
"ROFST_PHH:Rate of out-of-school children (household survey data)","GPIA:Adjusted gender parity index","L2:Lower secondary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST_PHH:GPIA:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.67154","0.60840","0.78723","0.68272","0.81414","0.71165","0.68182","","","",""
